id,title,thumbnail,short_description,game_url,genre,platform,publisher,developer,release_date,freetogame_profile_url
540,Overwatch 2,https://www.freetogame.com/g/540/thumbnail.jpg,A hero-focused first-person team shooter from Blizzard Entertainment.,https://www.freetogame.com/open/overwatch-2,Shooter,PC (Windows),Activision Blizzard,Blizzard Entertainment,2022-10-04,https://www.freetogame.com/overwatch-2
521,Diablo Immortal,https://www.freetogame.com/g/521/thumbnail.jpg,"Built for mobile and also released on PC, Diablo Immortal fills in the gaps between Diablo II and III in an MMOARPG environment.",https://www.freetogame.com/open/diablo-immortal,MMOARPG,PC (Windows),Blizzard Entertainment,Blizzard Entertainment,2022-06-02,https://www.freetogame.com/diablo-immortal
517,Lost Ark,https://www.freetogame.com/g/517/thumbnail.jpg,"Smilegate’s free-to-play multiplayer ARPG is a massive adventure filled with lands waiting to be explored, people waiting to be met, and an ancient evil waiting to be destroyed.",https://www.freetogame.com/open/lost-ark,ARPG,PC (Windows),Amazon Games,Smilegate RPG,2022-02-11,https://www.freetogame.com/lost-ark
516,PUBG: BATTLEGROUNDS,https://www.freetogame.com/g/516/thumbnail.jpg,Get into the action in one of the longest running battle royale games PUBG Battlegrounds.,https://www.freetogame.com/open/pubg,Shooter,PC (Windows),"KRAFTON, Inc.","KRAFTON, Inc.",2022-01-12,https://www.freetogame.com/pubg
508,Enlisted,https://www.freetogame.com/g/508/thumbnail.jpg,Get ready to command your own World War II military squad in Gaijin and Darkflow Software’s MMO squad-based shooter Enlisted.,https://www.freetogame.com/open/enlisted,Shooter,PC (Windows),Gaijin Entertainment,Darkflow Software,2021-04-08,https://www.freetogame.com/enlisted
345,Forge of Empires,https://www.freetogame.com/g/345/thumbnail.jpg,"A free to play 2D browser-based online strategy game, become the leader and raise your city.",https://www.freetogame.com/open/forge-of-empires,Strategy,Web Browser,InnoGames,InnoGames,2012-04-17,https://www.freetogame.com/forge-of-empires
427,Drakensang Online,https://www.freetogame.com/g/427/thumbnail.jpg,A free to play browser-based top-down hack-and-slash 3D MMORPG similar to games in the Diablo series.,https://www.freetogame.com/open/drakensang-online,MMORPG,Web Browser,Bigpoint,Bigpoint,2011-08-08,https://www.freetogame.com/drakensang-online
525,MultiVersus,https://www.freetogame.com/g/525/thumbnail.jpg,The Warner Bros lineup meets Smash in Player First Games’ MultiVersus.,https://www.freetogame.com/open/multiversus,Fighting,PC (Windows),Warner Bros. Games,Player First Games,2022-07-19,https://www.freetogame.com/multiversus
475,Genshin Impact,https://www.freetogame.com/g/475/thumbnail.jpg,"If you’ve been looking for a game to scratch that open-world action RPG itch, one with perhaps a bit of Asian flair, then you’re going to want to check out miHoYo’s Genshin Impact.",https://www.freetogame.com/open/genshin-impact,Action RPG,PC (Windows),miHoYo,miHoYo,2020-09-28,https://www.freetogame.com/genshin-impact
523,Fall Guys,https://www.freetogame.com/g/523/thumbnail.jpg,Play the most competitive massively multiplayer party royale game featuring beans ever for free on a variety of platforms.,https://www.freetogame.com/open/fall-guys,Battle Royale,PC (Windows),Mediatonic,Mediatonic,2020-08-04,https://www.freetogame.com/fall-guys
340,Game Of Thrones Winter Is Coming,https://www.freetogame.com/g/340/thumbnail.jpg,A free-to-play browser-based RTS based on the George R.R. Martin novels and popular HBO series.,https://www.freetogame.com/open/game-of-thrones-winter-is-coming,Strategy,Web Browser,GTArcade,YOOZOO Games,2019-11-14,https://www.freetogame.com/game-of-thrones-winter-is-coming
445,Dark Knight,https://www.freetogame.com/g/445/thumbnail.jpg,A browser-based fantasy MMOARPG wherein players take on the role of a devil hunter descended from the gods.,https://www.freetogame.com/open/dark-knight,MMORPG,Web Browser,Opogame,Opogame,2019-08-06,https://www.freetogame.com/dark-knight
347,Elvenar,https://www.freetogame.com/g/347/thumbnail.jpg,A browser based city-building strategy MMO set in the fantasy world of Elvenar.,https://www.freetogame.com/open/elvenar,Strategy,Web Browser,InnoGames,InnoGames,2015-04-08,https://www.freetogame.com/elvenar
11,Neverwinter,https://www.freetogame.com/g/11/thumbnail.jpg,A free-to-play 3D action MMORPG based on the acclaimed Dungeons & Dragons fantasy roleplaying game.,https://www.freetogame.com/open/neverwinter,MMORPG,PC (Windows),Perfect World Entertainment,Cryptic Studios,2013-12-06,https://www.freetogame.com/neverwinter
380,Dark Orbit Reloaded,https://www.freetogame.com/g/380/thumbnail.jpg,A browser-based 3D space-combat MMO with a massive playerbase!,https://www.freetogame.com/open/darkorbit,Shooter,Web Browser,Bigpoint,Bigpoint,2006-12-11,https://www.freetogame.com/darkorbit
515,Halo Infinite,https://www.freetogame.com/g/515/thumbnail.jpg,"For the first time ever, a free-to-play Halo experience is available in the form of Halo Infinite’s multiplayer.",https://www.freetogame.com/open/halo-infinite,Shooter,PC (Windows),Xbox Game Studios,343 Industries,2021-11-15,https://www.freetogame.com/halo-infinite
458,League of Angels - Heaven's Fury,https://www.freetogame.com/g/458/thumbnail.jpg,"A free-to-play, browser-based fantasy online action RPG based loosely on Western mythology!",https://www.freetogame.com/open/league-of-angels-heavens-fury,MMORPG,Web Browser,Gtarcade,Yoozoo Games,2020-01-09,https://www.freetogame.com/league-of-angels-heavens-fury
455,Eternal Fury,https://www.freetogame.com/g/455/thumbnail.jpg,A free-to-play ARPG from R2 Games!,https://www.freetogame.com/open/eternal-fury,MMORPG,Web Browser,R2 Games,R2 Games,2019-05-21,https://www.freetogame.com/eternal-fury
522,Flyff Universe,https://www.freetogame.com/g/522/thumbnail.jpg,Get the full Flyff experience on any platform with the free-to-play browser-based MMORPG Flyff Universe.,https://www.freetogame.com/open/flyff-universe,MMORPG,Web Browser,Gala Lab,Gala Lab,2022-06-14,https://www.freetogame.com/flyff-universe
511,Phantasy Star Online 2 New Genesis,https://www.freetogame.com/g/511/thumbnail.jpg,The legacy of Phantasy Star Online 2 continues a thousand years later!,https://www.freetogame.com/open/pso2-new-genesis,MMORPG,PC (Windows),Sega,Sega,2021-06-09,https://www.freetogame.com/pso2-new-genesis
5,Crossout,https://www.freetogame.com/g/5/thumbnail.jpg,A post-apocalyptic MMO vehicle combat game!,https://www.freetogame.com/open/crossout,Shooter,PC (Windows),Targem,Gaijin,2017-05-30,https://www.freetogame.com/crossout
9,World of Warships,https://www.freetogame.com/g/9/thumbnail.jpg,A 3D free to play naval action-themed MMO from the creators of World of Tanks!,https://www.freetogame.com/open/world-of-warships,Shooter,PC (Windows),Wargaming,Wargaming,2015-07-02,https://www.freetogame.com/world-of-warships
12,War Thunder,https://www.freetogame.com/g/12/thumbnail.jpg,A MMO shooter that puts you in command of hundreds of the finest combat vehicles of World War II.,https://www.freetogame.com/open/war-thunder,Shooter,PC (Windows),Gaijin Entertainment,Gaijin Entertainment,2013-08-15,https://www.freetogame.com/war-thunder
2,World of Tanks,https://www.freetogame.com/g/2/thumbnail.jpg,"If you like blowing up tanks, with a quick and intense game style you will love this game!",https://www.freetogame.com/open/world-of-tanks,Shooter,PC (Windows),Wargaming,Wargaming,2011-04-12,https://www.freetogame.com/world-of-tanks
529,Tower of Fantasy,https://www.freetogame.com/g/529/thumbnail.jpg,"Tower of Fantasy is a 3D open-world RPG, anime-style sci-fi MMO RPG game with unique characters and beautiful open vistas!",https://www.freetogame.com/open/tower-of-fantasy,MMORPG,PC (Windows),Level Infinite,Hotta Studio,2022-08-10,https://www.freetogame.com/tower-of-fantasy
528,Noah’s Heart,https://www.freetogame.com/g/528/thumbnail.jpg,Noah’s Heart is an open-world MMORPG game with a focus on exploration and socialization.,https://www.freetogame.com/open/noahs-heart,MMORPG,PC (Windows),Archosaur Games,Archosaur Games,2022-07-28,https://www.freetogame.com/noahs-heart
466,Valorant,https://www.freetogame.com/g/466/thumbnail.jpg,Test your mettle in Riot Games’ character-based FPS shooter Valorant.,https://www.freetogame.com/open/valorant,Shooter,PC (Windows),Riot Games,Riot Games,2020-06-02,https://www.freetogame.com/valorant
467,Phantasy Star Online 2,https://www.freetogame.com/g/467/thumbnail.jpg,"Welcome to ARKS, and elite task force searching dangerous planets for the corrupted Falspawn in Phantasy Star 2 Online, Sega’s popular, free-to-play sci-fi MMORPG.",https://www.freetogame.com/open/pso2,MMORPG,PC (Windows),SEGA,SEGA,2020-05-27,https://www.freetogame.com/pso2
452,Call Of Duty: Warzone,https://www.freetogame.com/g/452/thumbnail.jpg,A standalone free-to-play battle royale and modes accessible via Call of Duty: Modern Warfare.,https://www.freetogame.com/open/call-of-duty-warzone,Shooter,PC (Windows),Activision,Infinity Ward,2020-03-10,https://www.freetogame.com/call-of-duty-warzone
